Date,Product,Region,Year,Festival,Daily_Sales,Opening_Stock,Closing_Stock,Replenishment_Qty,New_Order_Qty,Stock_Out_Flag,Stock_Coverage_Days,Service_Level,Price_Index,Threshold,Lead_Time_Days,Stock_Recommendation,Day_Relative_To_Festival,Regional_Weight,Weather_Factor,Weekend_Factor,Promotion_Factor,Economic_Factor,Adjusted_Sales,Inventory_Turnover,Inventory_Turnover_Rate,Efficiency_Score,Profit_Margin
04-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,8,117,109,0,0,FALSE,13.46,1,1.14,36,11,Low,-10,0.8,1,1,1,1,8,0.0678,2.03,10.77,0.312
05-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,11,109,98,0,0,FALSE,8.83,1,1.14,36,11,Low,-9,0.8,1,1,1,1,11,0.1,3,7.06,0.299
06-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,11,98,87,0,0,FALSE,7.84,1,1.14,36,11,Low,-8,0.8,1,1.2,1,1,13.2,0.1111,3.33,6.27,0.388
07-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,15,87,72,0,0,FALSE,4.77,1,1.14,36,11,Low,-7,0.8,1,1.4,1,1,21,0.1705,5.12,3.82,0.327
08-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,15,72,57,0,0,FALSE,3.77,1,1.14,36,11,Low,-6,0.8,1,1.6,1,1,24,0.2055,6.16,3.02,0.336
09-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,16,57,41,0,0,FALSE,2.55,1,1.14,36,11,Low,-5,0.8,1,1,1,1,16,0.2759,8.28,2.04,0.34
10-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,22,41,19,0,0,FALSE,0.86,1,1.14,36,11,Low,-4,0.8,1,1,1,1,22,0.5238,15.71,0.69,0.343
11-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,19,19,0,0,46,FALSE,0,0,1.14,36,11,Low,-3,0.8,1,1,1,1,19,0.95,28.5,0,0.288
12-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,0,0,0,0,46,FALSE,0,0,1.14,36,11,Low,-2,0.8,1,1,1,1,0,0,0,0,0.324
13-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,0,0,0,0,0,FALSE,0,0,1.14,36,11,Low,-1,0.8,1,1.2,1,1,0,0,0,0,0.297
14-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,0,0,0,0,0,FALSE,0,0,1.14,36,11,Low,0,0.8,1,1.4,1,1,0,0,0,0,0.289
15-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,0,0,0,0,0,FALSE,0,0,1.14,36,11,Low,1,0.8,1,1.6,1,1,0,0,0,0,0.354
16-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,0,0,0,0,0,FALSE,0,0,1.14,36,11,Low,2,0.8,1,1,1,1,0,0,0,0,0.366
17-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,0,0,0,0,0,FALSE,0,0,1.14,36,11,Low,3,0.8,1,1,1,1,0,0,0,0,0.275
18-01-2023,Chocolates & Sweets Box,East,2023,Lohri/Pongal/Makar Sankranti,0,0,0,0,0,FALSE,0,0,1.14,36,11,Low,4,0.8,1,1,1,1,0,0,0,0,0.394
08-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,8,0,84,92,0,FALSE,10.37,1,1.15,42.5,14,Low,-10,0.85,1,1,1,1,8,8,240,8.81,0.292
09-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,11,84,73,0,0,FALSE,6.58,1,1.15,42.5,14,Low,-9,0.85,1,1,1,1,11,0.1294,3.88,5.59,0.297
10-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,17,73,56,0,0,FALSE,3.27,1,1.15,42.5,14,Low,-8,0.85,1,1.2,1,1,20.4,0.2297,6.89,2.78,0.28
11-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,21,56,35,0,0,FALSE,1.66,1,1.15,42.5,14,Low,-7,0.85,1,1.4,1,1,29.4,0.3684,11.05,1.41,0.351
